	gene	pval	qval	log2fc	mean	zero_mean	zero_variance
0	CR383668.1			0.0	0.0	True	True
1	fgfr1op2	0.08914188504271416	0.8227364066930261	1.7083814907042496	0.03734538088896311	False	False
2	znf1114	0.35173570996243253	0.8250972063185716	1.2279364233815362	0.023376071685094726	False	False
3	ENSDARG00000076014	0.7963844930029929	0.8958232551541411	-0.36658033373588744	0.029978843727781448	False	False
4	si:dkey-199m13.5			0.0	0.0	True	True
5	si:dkey-199m13.4			0.0	0.0	True	True
6	si:dkey-285e18.5			0.0	0.0	True	True
7	tm7sf3	0.9203614117026976	0.9668344556649671	0.3902421093876345	0.02000851847425573	False	False
8	zgc:174650	0.6679128344611995	0.8250972063185716	-1065.8680033625633	0.003002381879729008	False	False
9	dyrk2	0.6477348915535311	0.8250972063185716	-0.28401237080029634	0.159017795377471	False	False
10	lhfpl3	0.9652715270870221	0.9793486689298513	0.04264876478640163	0.339230704413847	False	False
11	si:ch211-197e7.1			0.0	0.0	True	True
12	si:dkeyp-82h4.1			0.0	0.0	True	True
13	si:dkeyp-82h4.3	0.6679128344611995	0.8250972063185716	-1066.0982906011905	0.003521999555022873	False	False
14	znf1136	0.5419961310840583	0.8250972063185716	-1067.040613473314	0.006767943848961829	False	False
15	wnt5b			0.0	0.0	True	True
16	znf1062			0.0	0.0	True	True
17	fbxl14b	0.439172808828864	0.8250972063185716	0.43455589412925755	0.08102221406781623	False	False
18	CR749763.5			0.0	0.0	True	True
19	ada2b			0.0	0.0	True	True
20	si:dkey-16p19.5			0.0	0.0	True	True
21	atp6v1e1b	0.4213851055811312	0.8250972063185716	0.3067997063762925	0.39109377205290097	False	False
22	nampta	0.3817917109403607	0.8250972063185716	0.706711430190465	0.043373685222839624	False	False
23	zgc:172014			0.0	0.0	True	True
24	zgc:173709	0.6679128344611995	0.8250972063185716	-1066.2304503093803	0.0038598758233672798	False	False
25	cracr2ab			0.0	0.0	True	True
26	si:ch211-73m21.1	0.5419961310840583	0.8250972063185716	-1067.196351033159	0.007539428446048408	False	False
27	prmt8b	0.5365132245223547	0.8250972063185716	-1.0887859449049415	0.04005424516334291	False	False
28	si:ch211-181p13.2			0.0	0.0	True	True
29	rbm17	0.29704323917765496	0.8250972063185716	-1.1590873715244732	0.05041296000557917	False	False
30	CR382294.1	0.5419961310840583	0.8250972063185716	-1066.876861819109	0.006041747723566815	False	False
31	zgc:174944	0.6679128344611995	0.8250972063185716	-1066.2685477112002	0.003963161714691847	False	False
32	braf	0.0120871706397428	0.3516735380931133	1.4199234023129068	0.07934866040250074	False	False
33	kmt2e	0.6613105398890328	0.8250972063185716	0.2545218667150944	0.21079816635498783	False	False
34	si:dkey-178j11.5			0.0	0.0	True	True
35	med21	0.013740182519913125	0.3516735380931133	1.783330830148092	0.042164904713140106	False	False
36	si:dkey-16p19.5-1	0.5419961310840583	0.8250972063185716	-1067.1200840693698	0.007151214091620818	False	False
37	si:dkey-16p6.1			0.0	0.0	True	True
38	znf1135			0.0	0.0	True	True
39	si:dkey-11n14.1	0.02106081028966778	0.3516735380931133	1068.694020081638	0.0039875964456543185	False	False
40	si:ch211-152l15.2			0.0	0.0	True	True
41	hgfa	0.6679128344611995	0.8250972063185716	-1066.2184718895091	0.003827960691600016	False	False
42	sypl1			0.0	0.0	True	True
43	atp2b1a	0.2917094132008906	0.8250972063185716	0.2930536200767359	0.5802465364112122	False	False
44	si:dkey-16p19.5-2	0.6679128344611995	0.8250972063185716	-1066.1746625595672	0.0037134668134428837	False	False
45	adipor2	0.747797948924245	0.8771279725900417	0.3517586804737655	0.07097961853765493	False	False
46	znf1066	0.18392315355494082	0.8250972063185716	2.549403904708987	0.0069512761516090284	False	False
47	si:dkey-47k16.4	0.6679128344611995	0.8250972063185716	-1066.2266838297467	0.0038498118928594026	False	False
48	mdm1	0.33190036053016747	0.8250972063185716	-1.200804560198607	0.05044657520346844	False	False
49	BX649620.1	0.28814926731245516	0.8250972063185716	-1068.6634635314417	0.020844106949528547	False	False
50	tspan11			0.0	0.0	True	True
51	znf987			0.0	0.0	True	True
52	pmpcb	0.8228112836482158	0.9084757286928649	0.3463101232180531	0.03671131832895619	False	False
53	si:dkeyp-44d3.1			0.0	0.0	True	True
54	si:dkey-43f9.4	0.5218563184159377	0.8250972063185716	0.29384996695664045	0.14115453792534083	False	False
55	si:ch73-389k6.1	0.33269756434231157	0.8250972063185716	-1068.3716497064715	0.01702701734233295	False	False
56	dnajc2	0.622614269004793	0.8250972063185716	-0.44415991199980487	0.0344483753122052	False	False
57	BX663613.1			0.0	0.0	True	True
58	znf977			0.0	0.0	True	True
59	znf1110			0.0	0.0	True	True
60	ndufb2	0.0057437610723109975	0.3383537413286651	1.1772963246896793	0.16023984518724868	False	False
61	atxn7l1	0.14179176033524973	0.8250972063185716	1.0690377679331227	0.04633452344701123	False	False
62	si:dkeyp-44d3.3	0.1856869672160053	0.8250972063185716	2.20867004335177	0.006484838592243702	False	False
63	znf800b	0.6679128344611995	0.8250972063185716	-1066.3946029479496	0.004325020807924258	False	False
64	znf1058			0.0	0.0	True	True
65	acot14			0.0	0.0	True	True
66	si:ch211-127b6.2			0.0	0.0	True	True
67	si:ch211-214j24.14			0.0	0.0	True	True
68	si:ch211-245n8.4	0.5419961310840583	0.8250972063185716	-1067.035534106824	0.006744157517806656	False	False
69	cacna2d1a	0.4071335735721767	0.8250972063185716	0.9526352361138831	0.011038556025556413	False	False
70	kdm7aa	0.38678940539676054	0.8250972063185716	-1068.020403863773	0.013347595715473708	False	False
71	znf1094	0.5419961310840583	0.8250972063185716	-1067.0739115862762	0.006925967952494595	False	False
72	mpped1	0.8725259198526779	0.9424015467323443	-0.0845771435694114	0.12914229505305755	False	False
73	snap91b	0.6712907357879585	0.828471268481286	-0.1335094807018069	0.5629130712261906	False	False
74	si:ch211-208f21.2	0.5419961310840583	0.8250972063185716	-1067.118197955912	0.007141871030336381	False	False
75	zgc:171673	0.7185255757713442	0.8547332885742625	0.3310688993783795	0.03631762253179308	False	False
76	ccdc167	0.9214954220041904	0.9668344556649671	0.3073720987925101	0.02151015034489671	False	False
77	znf996			0.0	0.0	True	True
78	si:dkey-19c16.12	0.6679128344611995	0.8250972063185716	-1065.9336389734158	0.0031421304972962423	False	False
79	si:ch73-158p21.2			0.0	0.0	True	True
80	si:dkey-156j15.1			0.0	0.0	True	True
81	si:dkey-265e15.5			0.0	0.0	True	True
82	znf1049			0.0	0.0	True	True
83	si:dkey-16p6.1-1	0.6679128344611995	0.8250972063185716	-1064.9986276138318	0.0016434547556525886	False	False
84	si:ch73-158p21.3	0.5419961310840583	0.8250972063185716	-1067.2429795516475	0.007787086636809165	False	False
85	grm8a	0.033952099966622504	0.4905161120091756	1.0623019335631163	0.14548007295618987	False	False
86	znf1026	0.6679128344611995	0.8250972063185716	-1066.0588003476098	0.0034269009025662688	False	False
87	znf1145			0.0	0.0	True	True
88	svopl			0.0	0.0	True	True
89	si:dkey-237m9.1			0.0	0.0	True	True
90	msgn1			0.0	0.0	True	True
91	calua	0.4372900010471813	0.8250972063185716	0.4031991996743784	0.08105637645157276	False	False
92	sema3c	0.6679128344611995	0.8250972063185716	-1065.2432249847927	0.0019471028746860753	False	False
93	acot15			0.0	0.0	True	True
94	mrps33	0.0021174034457332306	0.20095727147005196	1.858393576403869	0.06103020507857632	False	False
95	zgc:123107	0.5419961310840583	0.8250972063185716	-1067.0246929641407	0.006693668433545548	False	False
96	sema3aa	0.4747415670758729	0.8250972063185716	-1.1311847344679138	0.04769705556108219	False	False
97	scube1	0.28814941975979547	0.8250972063185716	-1068.6209958891686	0.02023947573125117	False	False
98	si:ch211-51e12.7	0.7751471888114816	0.8958232551541411	-0.16172571160972116	0.2779888729009118	False	False
99	si:dkey-165e24.1			0.0	0.0	True	True
100	zgc:172128			0.0	0.0	True	True
101	FP074874.1	0.2508348663254304	0.8250972063185716	-1068.8796731714629	0.02421413056439987	False	False
102	zgc:172128-1	0.29704318110115535	0.8250972063185716	-1.2945007917477742	0.05797360415873213	False	False
103	zgc:113209	0.45419064168464385	0.8250972063185716	-1067.687935197503	0.010600345063601992	False	False
104	opn1sw1			0.0	0.0	True	True
105	si:dkeyp-90h9.1			0.0	0.0	True	True
106	tmem178b	0.8641032579468995	0.9365280974858015	-0.0629603264037922	0.88934984292186	False	False
107	si:ch211-142b24.8	0.1856869672160053	0.8250972063185716	2.345354388645885	0.007969634247169573	False	False
108	kera			0.0	0.0	True	True
109	drd4-rs	0.3811505148873481	0.8250972063185716	0.623595157588852	0.06356740440401684	False	False
110	chpt1	0.006420253166218256	0.3472305159636819	3.2367290115736687	0.017354090958680388	False	False
